,,,uid,,,,park,
user,user,0,334,334,und,0,THREE RIVERS VILLAGE,NULL
user,user,0,337,337,und,0,Sunnyside Mobile Home Park,NULL
user,user,0,338,338,und,0,"Westview Mobile Estates, LLC",NULL
user,user,0,339,339,und,0,Bella Casa ,NULL
user,user,0,340,340,und,0,Colonial,NULL
user,user,0,341,341,und,0,Oakvilla Mobile Home Park,NULL
user,user,0,343,343,und,0,Pin Oak Park,NULL
user,user,0,344,344,und,0,"Prairie Village MHP, LLC",NULL
user,user,0,345,345,und,0,Giadanj Estates,NULL
user,user,0,347,347,und,0,Century Farm MHP,NULL
user,user,0,349,349,und,0,"Rainbow Villa MHP, LLC",NULL
user,user,0,350,350,und,0,Maple Lane Estates,NULL
user,user,0,351,351,und,0,"Country Mobile Estates, LLC",NULL
user,user,0,355,355,und,0,Lanters Landing,NULL
user,user,0,356,356,und,0,Knoll Terrace,NULL
user,user,0,357,357,und,0,Briarwood MHP,NULL
user,user,0,358,358,und,0,RidgeView Village,NULL
user,user,0,360,360,und,0,Miller Estates,NULL
user,user,0,364,364,und,0,Royal Oak Mobile Manor,NULL
user,user,0,367,367,und,0,"Ryan`s Outpost, LLC",NULL
user,user,0,372,372,und,0,Periwinkle Mobile Estates,NULL
user,user,0,374,374,und,0,Rogue Valley South,NULL
user,user,0,376,376,und,0,Desert Mobile Estates,NULL
user,user,0,377,377,und,0,Sunset Estates,NULL
user,user,0,378,378,und,0,Greenway Village Mobile Home Park,NULL
user,user,0,381,381,und,0,Foley Lakes,NULL
user,user,0,386,386,und,0,Cherry Lane Mobile Park,NULL
user,user,0,387,387,und,0,Blue Moon MHP,NULL
user,user,0,388,388,und,0,Shirleen Trailer Park,NULL
user,user,0,389,389,und,0,Country View Mobile Home Park,NULL
user,user,0,390,390,und,0,Colonial Mobile Estates,NULL
user,user,0,391,391,und,0,Aloha Sun,NULL
user,user,0,394,394,und,0,Oceanview Mobile Estates,NULL
user,user,0,397,397,und,0,Nut Tree Ranch,NULL
user,user,0,400,400,und,0,Arbor Mobile Home Park,NULL
user,user,0,401,401,und,0,Queen`s Garden Mobile Home Park,NULL
user,user,0,402,402,und,0,Mobile Home Corral Mobile Home & RV Park,NULL
user,user,0,404,404,und,0,Deception Creek Mobile Park,NULL
user,user,0,409,409,und,0,Countryside Estates - Philomath,NULL
user,user,0,411,411,und,0,Paradise Island Park,NULL
user,user,0,412,412,und,0,Foster Lake Mobile Home and RV Community,NULL
user,user,0,417,417,und,0,green acres mobile home park,NULL
user,user,0,420,420,und,0,hat rock mobile court,NULL
user,user,0,421,421,und,0,Ocean breeze Mobile home Court,NULL
user,user,0,424,424,und,0,Buttercreek Mobile Home Park,NULL
user,user,0,426,426,und,0,Homestead Community Inc,NULL
user,user,0,428,428,und,0,Wood Village Mobile Home Park,NULL
user,user,0,429,429,und,0,DWT,NULL
user,user,0,430,430,und,0,Meadow Park Mobile Estates LP,NULL
user,user,0,432,432,und,0,Rogue River Mobile Estates,NULL
user,user,0,433,433,und,0,Rogue River Campground,NULL
user,user,0,434,434,und,0,totem village park,NULL
user,user,0,439,439,und,0,Hannah Del Estates,NULL
user,user,0,443,443,und,0,Royal Court ,NULL
user,user,0,444,444,und,0,Commonwealth,NULL
user,user,0,446,446,und,0,Orland Villa,NULL
user,user,0,447,447,und,0,Harrisburg Mobilehome Park,NULL
user,user,0,450,450,und,0,"Puerto Vista MHC, LLC",NULL
user,user,0,454,454,und,0,Crown Court MHP,NULL
user,user,0,456,456,und,0,Orchard Point Mobile Homes,NULL
user,user,0,457,457,und,0,Brookside Mobile Village,NULL
user,user,0,460,460,und,0,Arbor MHP,NULL
user,user,0,462,462,und,0,Sheridan Senior Estates,NULL
user,user,0,464,464,und,0,Larsons Moorage,NULL
user,user,0,465,465,und,0,Steeves Mobile City,NULL
user,user,0,466,466,und,0,Cascade Village MHC,NULL
user,user,0,468,468,und,0,Vista Hills Mobile Home park,NULL
user,user,0,469,469,und,0,Town and Country Mobile Home Park,NULL
user,user,0,472,472,und,0,Lakeridge of Eugene,NULL
user,user,0,474,474,und,0,Rose Haven Mobile Park,NULL
user,user,0,476,476,und,0,Sandy Frontier Trailer Court,NULL
user,user,0,477,477,und,0,Crestwood Manufactured Home Community,NULL
user,user,0,482,482,und,0,WillowCreek Mobile Home Park,NULL
user,user,0,485,485,und,0,Fox Run,NULL
user,user,0,486,486,und,0,"Riverbend MHP, LLC",NULL
user,user,0,488,488,und,0,"Cedar Tree Mobile Home Park, LLC",NULL
user,user,0,491,491,und,0,"Quail Run Estates, LLC",NULL
user,user,0,492,492,und,0,"Reedway Place, Inc.",NULL
user,user,0,494,494,und,0,Driftwood Gardens,NULL
user,user,0,499,499,und,0,Four Seasons Mobile Home Park,NULL
user,user,0,503,503,und,0,Dexter Oaks MHP,NULL
user,user,0,505,505,und,0,Azalea Gardens Mobile Home Park,NULL
user,user,0,509,509,und,0,Wagon Wheel Village,NULL
user,user,0,510,510,und,0,"Altramar II, LLC",NULL
user,user,0,511,511,und,0,ORCA Mobile Court,NULL
user,user,0,512,512,und,0,Linwood Mobile Estates LLC,NULL
user,user,0,514,514,und,0,Hood Chalet Mobile Home Estates,NULL
user,user,0,518,518,und,0,Stonewood Community,NULL
user,user,0,520,520,und,0,Gainsborough Homes,NULL
user,user,0,521,521,und,0,Maple Terrace Mobile Home Park,NULL
user,user,0,523,523,und,0,The Patrician Mobile Home Park,NULL
user,user,0,526,526,und,0,"The Meadow On Pitney Pond, LLC",NULL
user,user,0,533,533,und,0,Royal Terrace Mobile Home Park,NULL
user,user,0,537,537,und,0,Cedar Glen Estates,NULL
user,user,0,538,538,und,0,Indian Oak,NULL
user,user,0,543,543,und,0,Marcy Manor,NULL
user,user,0,548,548,und,0,Ridgewood and Sunrise MHPS,NULL
user,user,0,549,549,und,0,"Deer Pointe Meadows, LLC",NULL
user,user,0,550,550,und,0,"Deer Pointe Meadows, LLC",NULL
user,user,0,551,551,und,0,Candlewood Park,NULL
user,user,0,556,556,und,0,Town and Country Mobile Estates,NULL
user,user,0,557,557,und,0,Porter Creek MHP,NULL
user,user,0,566,566,und,0,Bigfoot Mobile Home Park,NULL
user,user,0,567,567,und,0,Smoketree MHC,NULL
user,user,0,568,568,und,0,Culver Mobile Home Park,NULL
user,user,0,569,569,und,0,n/a,NULL
user,user,0,570,570,und,0,Greenway Manufactured Housing Community,NULL
user,user,0,578,578,und,0,Council Bluffs MHP,NULL
